status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
13,24,30,410,1474,61,72,84,94,101,74,124,33,143,151,161,173,182,192,202,1
14,24,31,48,1382,61,74,84,93,101,72,124,26,143,151,162,173,182,192,202,1
13,12,30,410,640,65,73,84,91,101,73,124,49,143,151,161,172,182,191,202,1
12,36,30,42,3919,65,73,82,93,101,73,124,23,143,151,161,173,182,192,202,1
13,9,31,410,1224,65,73,83,93,101,72,124,30,143,151,162,173,182,191,202,1
13,12,31,42,2331,64,75,81,93,102,75,124,49,143,151,161,173,182,192,202,1
13,24,30,40,6313,64,75,83,93,101,75,122,41,143,151,161,174,181,192,202,1
14,12,31,42,385,65,74,84,92,101,74,124,58,143,151,164,172,182,192,202,1
13,12,31,42,1655,65,75,82,93,101,75,124,63,143,151,162,172,182,192,202,1
14,15,30,42,1053,65,72,84,94,101,73,124,27,143,151,161,173,182,191,201,1
13,21,30,42,3160,64,75,84,93,101,74,123,41,143,151,161,173,182,192,202,1
13,36,30,410,3079,64,73,84,93,101,75,124,36,143,151,161,173,182,191,202,1
13,12,31,410,1163,62,73,84,93,101,75,124,44,143,151,161,173,182,192,202,1
13,24,30,40,2679,65,72,84,92,101,72,121,29,143,151,161,174,182,192,202,1
13,48,31,42,3578,64,75,84,93,101,72,124,47,143,151,161,173,182,192,202,1
13,36,32,410,10875,65,75,82,93,101,73,122,45,143,151,162,173,181,192,202,1
14,12,32,410,1344,65,73,84,93,101,73,124,43,143,151,162,172,181,191,202,1
13,6,31,42,1237,61,73,81,92,101,72,123,27,143,151,162,173,182,191,202,1
13,12,30,42,3077,65,73,82,93,101,75,122,52,143,151,161,173,182,192,202,1
13,24,30,42,2284,65,74,84,93,101,73,122,28,143,151,161,173,182,192,202,1
11,12,30,42,1567,65,73,81,92,101,72,122,22,143,151,161,173,182,192,202,1
13,24,32,410,2032,65,75,84,93,101,75,121,60,143,152,162,173,182,192,202,1
11,21,31,41,2745,63,74,83,93,101,73,122,32,143,151,162,173,182,192,202,1
13,30,30,42,1867,64,75,84,93,101,75,122,58,143,151,161,173,182,192,202,1
13,36,30,42,2299,62,75,84,93,101,75,122,39,143,151,161,173,182,191,202,1
13,24,30,41,929,64,74,84,93,101,73,122,31,142,151,161,173,182,192,202,1
12,12,30,42,3399,64,75,82,93,101,74,122,37,143,151,161,174,182,191,202,1
11,9,30,41,2030,64,74,82,93,101,72,122,24,143,151,161,173,182,192,202,1
13,21,31,40,3275,65,75,81,93,101,75,122,36,143,151,161,174,182,192,202,1
13,24,31,410,1940,63,75,84,93,101,75,124,60,143,151,161,173,182,192,202,1
14,21,31,410,1602,65,75,84,94,101,74,122,30,143,151,162,173,182,192,202,1
13,15,30,42,1979,64,75,84,93,101,73,122,35,143,151,161,173,182,191,202,1
13,24,31,410,2022,65,73,84,92,101,75,122,37,143,151,161,173,182,192,202,1
13,36,31,42,3342,64,75,84,93,101,73,122,51,143,151,161,173,182,192,202,1
11,18,30,410,5866,61,73,82,93,101,73,122,30,143,151,162,173,182,192,202,1
12,15,31,40,2360,62,73,82,93,101,73,122,36,143,151,161,173,182,192,202,1
13,15,31,41,1520,64,75,84,93,101,75,123,63,143,151,161,173,182,191,202,1
14,12,30,410,3651,63,73,81,93,101,74,123,31,143,151,161,173,181,191,202,1
13,24,31,40,2346,65,74,84,93,101,74,122,35,143,151,162,173,182,192,202,1
13,36,32,42,4454,65,73,84,92,101,75,124,34,143,151,162,173,182,191,202,1
14,6,31,410,666,63,74,83,92,101,75,124,39,143,151,162,172,182,192,202,1
11,24,32,410,1965,64,73,84,92,101,75,122,42,143,153,162,173,182,192,202,1
11,12,31,410,1995,61,72,84,93,101,72,122,27,143,151,161,173,182,191,202,1
11,30,30,42,2991,64,75,82,92,101,75,122,25,143,151,161,173,182,191,202,1
11,30,33,48,4221,65,73,82,92,101,72,122,28,143,151,162,173,182,191,202,1
14,9,30,42,1364,65,74,83,93,101,75,124,59,143,151,161,173,182,191,202,1
11,18,31,41,6361,65,75,82,93,101,72,121,41,143,151,161,173,182,192,202,1
13,27,31,41,4526,63,72,84,93,101,73,124,32,142,151,162,172,181,192,202,1
11,12,31,42,3573,65,73,81,92,101,72,124,23,143,151,161,172,182,191,202,1
11,36,32,48,4455,65,73,82,91,101,73,124,30,142,151,162,174,182,192,202,0
14,9,30,41,2136,65,73,83,93,101,73,124,25,143,151,161,173,182,191,202,1
11,42,31,48,5954,65,74,82,92,101,72,124,41,141,151,162,172,182,191,202,1
13,24,31,41,3777,63,73,84,93,101,75,124,40,143,151,161,173,182,192,202,1
14,15,30,48,806,65,73,84,92,101,75,123,22,143,151,161,172,182,191,202,1
11,24,32,48,4712,64,73,84,93,101,73,123,34,141,151,162,174,182,192,202,1
11,36,32,410,7432,65,73,82,92,101,73,123,54,143,153,161,173,182,191,202,1
13,24,31,42,1851,65,74,84,94,103,73,122,33,143,151,162,173,182,192,202,1
13,24,30,410,1393,65,73,82,93,103,73,124,31,143,151,161,173,182,192,202,1
13,12,31,48,1412,65,73,84,92,103,73,124,29,143,151,162,174,182,192,202,1
13,18,30,42,1473,65,72,83,94,101,75,124,39,143,151,161,173,182,192,202,1
13,24,30,42,1533,65,72,84,92,101,74,122,38,142,151,161,173,182,192,202,1
13,12,31,45,2012,64,74,84,92,101,73,122,61,143,151,161,173,182,191,202,1
14,15,30,410,3959,65,73,83,92,101,73,123,29,143,151,161,173,182,192,202,0
14,6,30,41,428,65,75,82,92,101,72,123,49,141,151,161,173,182,192,202,1
11,12,31,410,2366,62,74,83,91,101,74,122,36,143,151,161,174,182,192,202,1
13,12,30,41,763,65,73,84,92,101,72,124,26,143,151,161,173,182,192,202,1
11,21,30,41,3976,64,74,82,93,101,74,122,35,143,151,161,173,182,192,202,1
11,18,30,410,6260,65,74,83,93,101,74,124,28,143,153,161,172,182,191,202,1
11,9,31,41,1919,65,74,84,93,101,74,122,35,143,153,161,173,182,192,202,1
13,24,30,40,2603,63,73,82,92,101,75,122,28,143,153,161,173,182,192,202,1
13,9,31,45,936,62,75,84,93,101,73,122,52,143,151,162,173,182,192,202,1
13,24,30,41,3062,62,75,84,93,101,74,121,32,143,153,161,173,182,192,202,1
11,36,30,42,4795,65,72,84,92,101,72,121,30,143,151,161,174,182,192,202,1
13,36,31,40,5842,65,75,82,93,101,73,123,35,143,151,162,173,181,192,202,1
11,6,30,42,2063,65,72,84,94,101,74,122,30,143,153,161,174,182,192,202,1
13,15,31,42,1459,65,73,84,92,101,73,122,43,143,151,161,172,182,191,202,1
13,15,30,42,1213,62,75,84,93,101,74,123,47,142,151,161,173,182,192,202,1
13,24,31,42,5103,65,72,83,94,101,74,121,47,143,152,163,173,182,192,202,1
13,15,30,43,874,64,72,84,92,101,72,124,24,143,151,161,173,182,191,202,1
13,6,30,41,2978,62,73,81,93,101,73,122,32,143,151,161,173,182,192,202,1
13,18,30,410,1820,65,73,82,94,101,73,123,30,143,151,161,174,182,192,202,1
13,24,31,42,2872,61,75,83,93,101,75,124,36,143,151,161,173,181,192,202,1
12,24,30,41,1925,65,73,82,93,101,73,124,26,143,151,161,173,182,191,202,1
13,18,30,41,2515,65,73,83,93,101,75,124,43,143,151,161,173,182,192,202,1
12,6,30,41,2116,65,73,82,93,101,73,124,41,143,151,161,173,182,192,202,1
13,18,30,42,1453,65,72,83,92,101,72,124,26,143,151,161,173,182,191,202,1
13,10,30,410,1364,65,73,82,92,101,75,122,64,143,151,161,173,182,192,202,1
13,6,30,41,1543,63,73,84,91,101,73,124,33,143,151,161,173,182,191,202,1
11,12,30,410,1318,63,75,84,93,101,75,124,54,143,151,161,173,182,192,202,1
14,24,34,410,2325,61,74,82,93,101,74,122,32,141,151,161,173,182,191,202,1
11,6,31,47,932,64,74,81,92,101,74,123,39,143,151,162,172,182,191,202,1
12,24,31,42,3148,64,73,83,93,101,73,122,31,143,151,162,173,182,192,202,1
13,36,30,42,3835,64,75,82,92,101,75,124,45,143,151,161,172,182,192,202,1
13,9,30,45,3832,64,75,81,93,101,75,124,64,143,151,161,172,182,191,202,1
11,24,30,42,5084,64,75,82,92,101,75,122,42,143,151,161,173,182,192,202,1
13,9,31,41,2406,65,71,82,93,101,74,122,31,143,151,161,174,182,191,202,1
13,36,30,42,2394,64,73,84,92,101,75,122,25,143,151,161,173,182,191,202,1
13,21,30,40,2476,64,75,84,93,101,75,124,46,143,151,161,174,182,192,202,1
14,24,30,40,2964,64,75,84,93,101,75,121,49,141,152,161,173,181,192,202,1
14,12,30,41,1262,64,75,82,91,101,75,123,49,143,151,161,172,182,192,202,1
13,12,30,48,1542,65,74,82,93,101,75,122,36,143,151,161,173,182,192,202,1
11,24,31,42,1743,65,75,84,93,101,73,123,48,143,151,162,172,182,191,202,1
12,12,34,42,409,63,73,83,92,101,74,124,42,143,153,162,173,182,191,202,1
13,12,30,42,2171,65,72,82,92,101,73,122,29,141,151,161,173,182,191,202,1
13,48,31,40,8858,64,74,82,93,101,72,121,35,143,152,162,173,182,192,202,1
11,24,30,410,3512,61,74,82,93,101,74,122,38,141,151,162,173,182,192,202,1
11,12,30,42,1158,62,73,83,91,101,72,122,26,143,151,161,173,182,192,202,1
13,24,31,42,2684,65,73,84,93,101,73,124,35,143,151,162,172,182,191,202,1
14,12,30,42,1498,65,73,84,92,101,72,122,23,141,151,161,173,182,191,202,1
13,30,31,42,5954,65,74,83,93,102,73,122,38,143,151,161,173,182,191,202,1
11,48,34,48,6416,65,75,84,92,101,74,121,59,143,153,161,173,182,191,202,0
11,12,31,41,3617,65,75,81,93,101,75,122,28,143,153,163,173,182,192,202,1
13,12,31,42,1291,65,73,84,92,101,73,123,35,143,151,162,173,182,191,202,1
12,24,31,48,1275,63,73,82,91,101,75,124,36,143,151,162,173,182,192,202,1
13,24,30,41,3972,65,74,82,92,101,75,123,25,143,153,161,173,182,192,202,1
13,15,31,41,3343,65,73,84,93,101,73,121,28,143,152,161,173,182,192,202,1
12,15,30,45,392,65,72,84,92,101,75,123,23,143,153,161,173,182,192,202,1
13,9,31,410,2134,65,73,84,93,101,75,122,48,143,151,163,173,182,192,202,1
13,30,31,42,5771,65,74,84,92,101,73,122,25,143,151,162,173,182,191,202,1
13,24,31,48,4526,65,73,83,93,101,73,124,74,143,151,161,174,182,192,202,1
13,15,31,41,2788,65,74,82,92,102,74,122,24,141,151,162,173,182,191,202,1
13,6,31,42,1382,65,73,81,92,101,72,122,28,143,151,162,173,182,192,202,1
12,36,30,42,5848,65,73,84,93,101,72,122,24,143,151,161,173,182,191,202,1
14,12,30,410,1228,65,73,84,92,101,73,124,24,143,151,161,172,182,191,202,0
12,12,30,42,1297,65,73,83,94,101,75,124,23,143,153,161,173,182,191,202,1
13,24,30,42,1552,65,74,83,93,101,72,122,32,141,151,161,173,181,191,202,1
13,12,30,42,1963,65,74,84,93,101,73,122,31,143,153,162,174,181,192,202,1
13,24,30,42,3235,62,75,83,91,101,73,122,36,143,151,161,174,182,192,202,1
13,24,31,48,4139,61,73,83,93,101,74,123,27,143,151,162,172,182,192,202,1
11,12,31,40,1804,61,72,83,93,101,75,123,44,143,151,161,173,182,191,202,1
13,18,30,48,1950,65,74,84,93,101,72,122,34,142,151,162,173,182,192,202,1
13,48,32,42,12749,62,74,84,93,101,72,122,37,143,151,161,174,182,192,202,1
13,9,30,43,1236,65,72,81,92,101,75,124,23,143,153,161,173,182,192,202,1
13,18,31,410,1055,65,72,84,92,101,72,123,30,143,151,162,173,182,191,202,1
14,30,33,48,8072,64,72,82,93,101,74,122,25,141,151,163,173,182,191,202,1
13,30,31,42,2831,65,73,84,92,101,73,122,33,143,151,161,173,182,192,202,1
13,9,30,48,1449,65,74,83,92,101,73,122,27,143,151,162,173,182,191,202,1
13,36,30,48,5742,61,74,82,93,101,73,122,31,143,151,162,173,182,192,202,1
13,12,30,410,2390,64,75,84,93,101,74,122,50,143,151,161,173,182,192,202,1
13,24,30,42,3430,62,75,83,93,101,73,122,31,143,151,161,173,181,192,202,1
11,36,30,45,2273,65,74,83,93,101,72,122,32,143,151,162,173,181,191,202,1
12,21,30,410,2923,61,73,81,92,101,72,122,28,141,151,161,174,182,192,202,1
13,24,30,42,1901,61,73,84,93,101,75,122,29,143,153,161,174,182,192,202,1
11,36,30,45,3711,64,73,82,94,101,73,122,27,143,151,161,173,182,191,202,1
11,48,30,410,8487,64,74,81,92,101,73,122,24,143,151,161,173,182,191,202,1
13,24,30,410,2255,64,72,84,93,101,72,123,54,143,151,161,173,182,191,202,1
13,12,30,42,1262,65,73,83,93,101,73,122,25,143,151,161,173,182,191,202,1
13,33,31,40,7253,65,74,83,93,101,73,122,35,143,151,162,174,182,192,202,1
13,6,31,410,6761,65,74,81,93,101,74,121,45,143,151,162,174,181,192,202,1
13,18,31,41,1817,65,73,84,92,101,73,121,28,143,151,162,173,182,191,202,1
13,12,30,42,2141,61,74,83,93,101,72,121,35,143,151,161,173,182,191,202,1
13,48,34,48,3609,65,73,81,92,101,72,124,27,142,151,161,173,182,191,202,1
13,30,30,42,2333,62,75,84,93,101,73,122,30,141,151,161,174,182,191,202,1
13,28,34,40,7824,64,72,83,93,103,75,124,40,141,153,162,173,181,192,202,1
12,18,34,42,1445,64,74,84,93,101,75,122,49,141,151,161,172,182,191,202,1
14,24,30,41,7721,64,72,81,92,101,73,123,30,143,151,161,173,182,192,201,1
14,21,30,410,3763,64,74,82,93,102,73,124,24,143,151,161,172,182,191,201,1
11,18,30,48,4439,65,75,81,93,102,72,124,33,141,151,161,174,182,192,202,1
14,12,30,42,1107,65,73,82,93,101,73,124,20,143,153,161,174,181,192,202,1
11,15,30,42,1444,64,72,84,93,101,72,123,23,143,151,161,173,182,191,202,1
11,48,34,410,12169,64,71,84,93,102,75,121,36,143,152,161,174,182,192,202,1
13,9,30,42,2753,61,75,83,93,102,75,122,35,143,151,161,173,182,192,202,1
12,4,30,410,1494,64,72,81,93,101,73,124,29,143,151,161,172,181,191,201,1
14,24,34,41,2828,62,73,84,93,101,75,124,22,142,151,161,173,182,192,202,1
14,24,34,41,2483,62,73,84,93,101,75,124,22,142,151,161,173,182,192,202,1
12,6,31,410,1299,65,73,81,93,101,72,124,74,143,151,163,171,181,191,201,1
11,9,30,410,1549,64,72,84,93,101,73,124,35,143,151,161,171,182,191,202,1
12,10,30,410,3949,65,72,81,93,103,72,123,37,143,151,161,172,181,191,202,1
13,10,30,40,2901,64,72,81,92,101,75,124,31,143,153,161,173,182,191,202,1
12,6,30,410,709,63,72,82,94,101,73,124,27,143,151,161,171,182,191,201,1
14,47,30,410,10722,65,72,81,92,101,72,124,35,143,151,161,172,182,192,202,1
13,10,30,410,1287,64,75,84,93,102,73,123,45,143,151,161,172,182,191,201,1
14,18,34,42,1940,65,72,83,93,102,75,121,36,141,152,161,174,182,192,202,1
12,30,31,42,3656,64,75,84,93,101,75,123,49,142,151,162,172,182,191,202,1
13,24,32,40,4679,65,74,83,93,101,74,122,35,143,151,162,172,182,192,202,1
13,27,32,40,8613,63,73,82,93,101,73,122,27,143,151,162,173,182,191,202,1
14,18,30,41,2659,63,73,84,93,101,73,122,28,143,151,161,173,182,191,202,1
13,24,31,42,1516,63,73,84,92,101,72,124,43,143,151,162,172,182,191,202,1
14,18,30,410,4380,61,73,83,93,101,75,122,35,143,151,161,172,181,192,202,1
13,14,32,410,802,65,73,84,93,101,73,122,27,143,151,162,172,182,191,202,1
13,21,30,48,1572,63,75,84,92,101,75,124,36,141,151,161,172,182,191,202,1
11,48,34,48,3566,61,74,84,93,101,73,122,30,143,151,161,173,182,191,202,1
13,24,30,42,1278,65,75,84,93,101,72,124,36,143,151,161,174,182,192,202,1
13,6,33,42,426,65,75,84,94,101,75,122,39,143,151,161,172,182,191,202,1
13,39,30,40,8588,61,75,84,93,101,73,122,45,143,151,161,174,182,192,202,1
14,30,30,40,3857,65,73,84,91,101,75,123,40,143,151,161,174,182,192,202,1
11,12,30,410,685,65,74,82,94,101,74,122,25,141,151,161,172,182,191,202,0
14,24,30,42,1603,65,75,84,92,101,75,122,55,143,151,161,173,182,191,202,1
13,21,30,41,2241,65,75,84,93,101,73,124,50,143,151,162,173,182,191,202,1
14,24,30,42,2384,65,75,84,93,101,75,124,64,141,153,161,172,182,191,202,1
13,4,30,41,601,65,72,81,92,101,74,124,23,143,153,161,172,181,191,202,1
13,39,30,40,2569,62,73,84,93,101,75,122,24,143,151,161,173,182,191,202,1
13,15,31,42,1316,62,73,82,94,101,73,123,47,143,151,162,172,182,191,202,1
13,60,30,410,10366,65,75,82,93,101,75,123,42,143,151,161,174,182,192,202,1
13,18,30,48,1568,61,73,83,92,101,75,123,24,143,153,161,172,182,191,202,1
13,18,31,42,629,62,75,84,93,101,74,123,32,141,151,162,174,182,192,202,1
13,6,34,42,1750,62,75,82,93,101,75,123,45,141,151,161,172,181,191,202,1
13,24,30,40,3488,61,74,83,92,101,75,122,23,143,151,161,173,182,191,202,1
13,18,31,42,1800,65,73,84,93,101,73,122,24,143,151,162,173,182,191,202,1
13,24,32,41,4151,61,73,82,93,101,74,123,35,143,151,162,173,182,191,202,1
11,15,30,44,2631,61,73,83,92,101,73,124,25,143,151,161,172,182,191,202,1
13,21,30,40,5248,64,73,81,93,101,74,122,26,143,151,161,173,182,191,202,1
11,18,32,410,2899,64,75,84,93,101,75,122,43,143,151,161,173,181,191,202,1
11,18,32,44,6204,65,73,82,93,101,75,124,44,143,151,161,172,181,192,202,1
13,12,30,42,804,65,75,84,93,101,75,122,38,143,151,161,173,182,191,202,1
13,36,30,42,3595,65,75,84,93,101,73,122,28,143,151,161,173,182,191,202,1
13,36,31,40,5711,63,75,84,93,101,73,122,38,143,151,162,174,182,192,202,1
12,15,30,48,2687,65,74,82,93,101,75,123,26,143,153,161,173,182,192,202,1
14,15,32,41,3643,65,75,81,92,101,75,123,27,143,151,162,172,182,191,202,1
13,10,31,41,2146,65,72,81,92,101,74,124,23,143,153,162,173,182,191,202,1
14,10,30,42,2315,65,75,83,93,101,75,124,52,143,151,161,172,182,191,202,1
13,5,30,48,3448,65,74,81,93,101,75,124,74,143,151,161,172,182,191,202,1
13,15,30,41,2708,65,72,82,93,101,74,123,27,141,151,162,172,182,191,202,1
13,11,31,410,1393,65,72,84,92,101,75,122,35,143,151,162,174,182,191,202,1
12,10,30,41,1275,65,72,84,92,101,73,123,23,143,151,161,173,182,191,202,1
13,9,30,41,1313,65,75,81,93,101,75,122,20,143,151,161,173,182,191,202,1
13,12,30,42,1493,65,72,84,92,101,74,122,34,143,151,161,173,181,191,202,1
13,22,30,42,2675,62,75,83,93,101,75,122,40,143,151,161,173,182,191,202,1
11,9,30,42,2118,65,73,82,93,101,73,124,37,143,151,161,172,181,191,202,1
13,36,30,410,909,62,75,84,93,101,75,123,36,143,151,161,173,182,191,202,1
13,12,31,41,1258,65,72,82,92,101,75,123,22,143,153,162,172,182,191,202,1
13,15,34,42,1569,61,75,84,93,101,75,122,34,141,151,161,172,181,191,202,1
13,6,30,40,1236,62,73,82,93,101,75,123,50,143,153,161,173,182,191,202,1
13,36,32,41,7678,62,74,82,92,101,75,122,40,143,151,162,173,182,192,202,1
13,6,30,44,660,62,74,82,94,101,75,124,23,143,153,161,172,182,191,202,1
13,24,30,41,2835,62,75,83,93,101,75,123,53,143,151,161,173,182,191,202,1
13,24,30,40,2670,65,75,84,93,101,75,122,35,143,151,161,174,182,192,202,1
13,12,34,47,3447,62,73,84,92,101,74,124,35,143,151,161,172,181,191,202,1
13,15,30,42,3568,65,75,84,92,101,73,122,54,141,153,161,174,182,192,202,1
11,21,31,48,3652,65,74,82,93,101,74,123,27,143,151,162,173,182,191,202,1
14,24,30,42,3660,65,73,82,92,101,75,122,28,143,151,161,173,182,191,202,1
12,9,30,42,1126,61,75,82,91,101,75,124,49,143,151,161,173,182,191,202,1
12,6,32,42,683,65,72,82,92,101,72,123,29,141,151,161,173,182,191,202,1
12,12,30,41,2251,65,73,81,92,101,73,122,46,143,151,161,172,182,191,202,1
13,12,30,40,4675,64,72,81,92,101,75,122,20,143,153,161,173,182,191,202,1
11,21,32,410,2353,65,73,81,91,101,75,123,47,143,151,162,173,182,191,202,1
14,21,30,42,3357,63,72,84,92,101,73,122,29,141,151,161,173,182,191,202,1
13,6,30,410,672,65,71,81,92,101,75,124,54,143,151,161,171,182,192,202,1
14,6,31,42,338,62,75,84,93,101,75,122,52,143,151,162,173,182,191,202,1
13,9,30,42,2697,65,73,81,93,101,73,124,32,143,151,161,173,181,191,202,1
13,9,30,410,2507,62,75,82,93,101,75,121,51,143,152,161,172,182,191,202,1
13,15,32,42,1478,65,73,84,94,101,74,124,33,141,151,162,173,182,191,202,1
13,12,31,45,3565,64,72,82,93,101,72,123,37,143,151,162,172,181,191,202,1
13,15,30,41,2221,62,73,82,92,101,75,122,20,143,153,161,173,182,191,202,1
13,6,31,42,1898,64,73,81,93,101,73,124,34,143,151,162,172,181,191,202,1
11,6,32,48,1449,61,75,81,91,101,73,122,31,141,151,162,173,181,191,202,1
13,15,32,41,960,63,74,83,92,101,73,123,30,143,151,162,173,182,191,202,1
13,36,30,40,8133,65,73,81,92,101,73,123,30,141,151,161,173,182,191,202,1
13,9,30,41,2301,61,72,82,92,101,75,123,22,143,153,161,173,182,191,202,1
13,6,32,48,1743,61,73,81,93,101,73,124,34,143,151,162,172,182,191,202,1
11,12,30,41,983,63,72,81,92,101,75,124,19,143,153,161,172,182,191,202,1
13,18,32,42,2320,65,71,82,94,101,74,124,34,143,151,162,173,182,191,202,1
14,12,34,47,339,65,75,84,94,101,72,122,45,141,151,161,172,182,191,202,1
12,24,30,42,5152,65,74,84,93,101,73,122,25,141,151,161,173,182,191,202,1
12,24,30,41,3749,65,72,82,92,101,75,122,26,143,151,161,173,182,191,202,1
13,9,31,42,3074,64,73,81,93,101,73,124,33,143,151,162,173,181,191,202,1
12,9,30,42,745,65,73,83,92,101,73,124,28,143,151,161,172,182,191,202,0
13,24,30,410,1469,61,75,84,94,101,75,124,41,143,153,161,172,182,191,202,1
14,6,30,41,1374,65,73,81,93,101,73,124,36,141,151,161,172,182,192,202,1
13,6,34,410,783,64,73,81,93,103,73,124,26,142,151,161,172,181,191,202,1
14,21,30,42,2606,65,72,84,92,101,75,123,28,143,153,161,174,182,192,202,1
13,54,33,40,9436,64,73,82,93,101,73,123,39,143,151,161,172,181,191,202,1
13,12,31,42,930,64,75,84,93,101,75,124,65,143,151,164,173,182,191,202,1
13,48,31,40,2751,64,75,84,93,101,74,122,38,143,151,162,173,181,192,202,1
13,6,31,410,250,63,73,82,92,101,73,124,41,141,151,162,172,182,191,202,1
11,24,30,410,1201,65,72,84,93,101,72,123,26,143,151,161,173,182,191,202,1
14,6,30,410,662,65,72,83,93,101,75,124,41,143,151,161,172,181,192,202,1
13,15,30,40,1300,64,75,84,93,101,75,121,45,141,152,161,173,181,191,202,1
13,24,34,48,1559,65,74,84,93,101,75,122,40,141,151,161,173,182,192,202,1
12,12,30,42,3016,65,73,83,94,101,72,122,24,143,151,161,173,182,191,202,1
13,15,31,42,1360,65,73,84,93,101,73,123,31,143,151,162,173,182,191,202,1
13,6,33,410,1204,61,73,84,93,101,72,121,35,141,153,161,173,182,191,201,1
13,10,30,410,1597,62,73,83,93,101,73,121,40,143,153,161,172,181,191,201,1
13,12,30,42,2073,61,73,84,92,102,73,124,28,143,151,161,173,182,191,202,1
